SDTrimSP: VERSION 6.03    17.06.2025
SDTrimSP-Ar-Ti -Panjan-ver3                                                     
      100000   maxnumber (backscattered-projectile)    
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1            1  0.10000E-01  0.19122E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.48955E+01 -0.54473E+00 -0.38233E+01  0.48955E+01  0.17217E+01  0.38233E+01  0.89192E+00  0.50120E+00  0.98486E+00  0.49086E+03  0.48752E+03  0.72238E+01  0.48752E+03  0.44749E+01
            1           10  0.11000E-01  0.91946E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.61595E+01  0.23548E+01  0.13104E+02  0.79853E+01  0.23548E+01  0.13264E+02  0.99981E+00  0.22043E+00  0.23286E+02  0.46041E+03  0.43730E+03  0.30394E+02  0.39446E+03  0.11158E+03
            1            4  0.11000E-01  0.28023E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.54856E+01  0.21129E+01 -0.20213E+01  0.54856E+01  0.28510E+01  0.23648E+01  0.99505E+00  0.74606E+00  0.64592E+01  0.48181E+03  0.47814E+03  0.15386E+02  0.46702E+03  0.37123E+02
            1            7  0.11000E-01  0.62071E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.49287E+01 -0.78980E+01 -0.50945E+01  0.59011E+01  0.78980E+01  0.50945E+01  0.98137E+00 -0.99643E+00  0.17002E+02  0.41411E+03  0.40343E+03  0.23822E+02  0.37650E+03  0.59436E+02
            1            3  0.11000E-01  0.51222E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.48389E+01  0.92240E+01 -0.47808E+01  0.48389E+01  0.92240E+01  0.47808E+01  0.67498E+00  0.97303E+00  0.20132E+01  0.43801E+03  0.43353E+03  0.10768E+02  0.41627E+03  0.26944E+02
            1            4  0.11000E-01  0.28497E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.54427E+01 -0.35739E+01 -0.24298E+01  0.54427E+01  0.35739E+01  0.39537E+01  0.73125E+00 -0.96237E+00  0.35462E+01  0.48422E+03  0.47738E+03  0.12934E+02  0.46415E+03  0.45504E+02
            1            1  0.11000E-01  0.21140E+00 -0.43949E+01  0.00000E+00  0.00000E+00 -0.67063E+01 -0.28369E+01 -0.51867E-01  0.67063E+01  0.28369E+01  0.68578E+00  0.98000E+00 -0.78980E+00  0.29304E+00  0.49263E+03  0.49223E+03  0.71628E+01  0.49223E+03  0.44731E+01
            1            5  0.11000E-01  0.15438E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.64568E+01 -0.43508E+01 -0.54742E+01  0.64568E+01  0.73986E+01  0.54742E+01  0.90766E+00  0.89638E+00  0.10905E+02  0.46869E+03  0.46306E+03  0.15868E+02  0.46306E+03  0.45488E+02
            1            5  0.12000E-01  0.21941E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.54099E+01 -0.53632E+01  0.11489E+02  0.54099E+01  0.53632E+01  0.11489E+02  0.72003E+00 -0.30283E+00  0.86668E+01  0.48715E+03  0.48044E+03  0.10657E+02  0.45144E+03  0.87863E+02
            1            2  0.12000E-01  0.35494E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.49736E+01  0.56661E+01 -0.15151E+02  0.49736E+01  0.56661E+01  0.15151E+02  0.41149E+00  0.55355E+00  0.15018E+01  0.45480E+03  0.45017E+03  0.97058E+01  0.43915E+03  0.16733E+02
            1            8  0.12000E-01  0.21768E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.51267E+01 -0.70679E+01  0.38816E+01  0.76858E+01  0.75815E+01  0.45902E+01  0.99574E+00  0.38479E+00  0.20894E+02  0.45003E+03  0.43456E+03  0.28205E+02  0.40057E+03  0.10536E+03
            1            2  0.12000E-01  0.56252E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.43985E+01  0.18896E+02 -0.58784E+01  0.43985E+01  0.18896E+02  0.58784E+01  0.34744E+00  0.96476E+00  0.77131E+01  0.43154E+03  0.42714E+03  0.12206E+02  0.41995E+03  0.44104E+02
            1            2  0.12000E-01  0.22803E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.51832E+01 -0.12944E+02 -0.49926E+01  0.51832E+01  0.12944E+02  0.49926E+01  0.53829E+00 -0.84480E+00  0.00000E+00  0.46891E+03  0.46830E+03  0.82830E+01  0.45950E+03  0.00000E+00
            1            4  0.12000E-01  0.79655E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53722E+01 -0.12498E+02  0.33553E+00  0.53722E+01  0.12498E+02  0.78080E+00  0.72075E+00 -0.98018E+00  0.82751E+01  0.40736E+03  0.40462E+03  0.12983E+02  0.37901E+03  0.37122E+02
            1            3  0.12000E-01  0.48350E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55727E+01 -0.91564E+01  0.35019E+01  0.55727E+01  0.91564E+01  0.35019E+01  0.79601E+00 -0.87862E+00  0.85723E+01  0.43676E+03  0.43420E+03  0.14892E+02  0.43420E+03  0.39392E+02
            1            3  0.12000E-01  0.48579E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53651E+01 -0.31450E+01  0.14466E+02  0.53651E+01  0.31450E+01  0.14466E+02  0.52355E+00 -0.54289E+00  0.61977E+01  0.43875E+03  0.43592E+03  0.12668E+02  0.42382E+03  0.37873E+02
            1            4  0.12000E-01  0.25685E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.56334E+01  0.84657E+01 -0.51369E+01  0.56334E+01  0.84657E+01  0.51369E+01  0.96750E+00  0.82387E-01  0.76045E+01  0.46196E+03  0.44897E+03  0.12355E+02  0.42723E+03  0.46847E+02
            1            5  0.13000E-01  0.80041E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.47272E+01 -0.49406E+01  0.19846E+01  0.47272E+01  0.61037E+01  0.20539E+01  0.81791E+00  0.34407E+00  0.78282E+01  0.47820E+03  0.47228E+03  0.13801E+02  0.46218E+03  0.68946E+02
            1            4  0.13000E-01  0.17644E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55420E+01 -0.54488E+01  0.84577E+01  0.55420E+01  0.54488E+01  0.84577E+01  0.91904E+00 -0.88611E+00  0.70427E+01  0.46902E+03  0.45499E+03  0.13336E+02  0.43768E+03  0.37004E+02
            1            5  0.13000E-01  0.36370E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.62639E+01  0.12465E+01 -0.10829E+02  0.62639E+01  0.12465E+01  0.10829E+02  0.81502E+00  0.49922E+00  0.85437E+01  0.44724E+03  0.43871E+03  0.16387E+02  0.42047E+03  0.47447E+02
            1           11  0.13000E-01  0.12614E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.59051E+01  0.14244E+02 -0.35382E+01  0.81367E+01  0.14244E+02  0.82518E+01  0.82226E+00  0.10044E+00  0.24786E+02  0.45368E+03  0.43477E+03  0.33705E+02  0.36657E+03  0.11517E+03
            1            2  0.13000E-01  0.26656E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.47640E+01  0.16240E+01  0.65798E+01  0.47640E+01  0.16240E+01  0.65798E+01  0.80311E+00  0.31353E+00  0.34869E+01  0.46501E+03  0.46174E+03  0.83371E+01  0.46174E+03  0.15566E+02
            1            7  0.14000E-01  0.93210E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.57457E+01 -0.95840E+01  0.61607E+01  0.57457E+01  0.95840E+01  0.61607E+01  0.85911E+00 -0.40306E+00  0.14515E+02  0.46621E+03  0.45340E+03  0.24465E+02  0.43756E+03  0.63150E+02
            1            3  0.14000E-01  0.34197E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53150E+01 -0.64929E+01 -0.51391E+01  0.53150E+01  0.64929E+01  0.51391E+01  0.74572E+00 -0.94533E+00  0.55092E+01  0.45463E+03  0.44996E+03  0.11168E+02  0.43812E+03  0.26538E+02
            1            3  0.14000E-01  0.67215E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.52025E+01  0.14355E+02 -0.68439E+01  0.52025E+01  0.14355E+02  0.68439E+01  0.43470E+00  0.94458E+00  0.46135E+01  0.42051E+03  0.41201E+03  0.12277E+02  0.40088E+03  0.19743E+02
            1            7  0.14000E-01  0.35211E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53251E+01 -0.58305E+01  0.27441E+01  0.59688E+01  0.58305E+01  0.72173E+01  0.83852E+00 -0.25145E-01  0.15329E+02  0.44007E+03  0.42827E+03  0.24717E+02  0.41248E+03  0.60360E+02
            1            4  0.14000E-01  0.15831E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.55074E+01 -0.58452E+01 -0.45914E+01  0.55074E+01  0.58452E+01  0.51026E+01  0.77567E+00 -0.99458E+00  0.91871E+01  0.48483E+03  0.47651E+03  0.13588E+02  0.46942E+03  0.11638E+03
            1            4  0.14000E-01  0.91434E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.58163E+01 -0.42335E+00  0.64205E+01  0.58163E+01  0.43006E+01  0.64205E+01  0.86555E+00  0.82088E+00  0.54131E+01  0.47688E+03  0.47049E+03  0.13975E+02  0.46058E+03  0.35549E+02
            1            2  0.15000E-01  0.16901E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.66755E+01 -0.62828E+01 -0.29811E+01  0.66755E+01  0.62828E+01  0.29811E+01  0.91235E+00 -0.75741E+00  0.58872E+01  0.47270E+03  0.46205E+03  0.10399E+02  0.46205E+03  0.40093E+02
            1            6  0.16000E-01  0.22647E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.61467E+01  0.17026E+01 -0.15136E+02  0.61467E+01  0.22358E+01  0.15136E+02  0.75816E+00  0.46859E+00  0.12865E+02  0.45909E+03  0.44975E+03  0.18268E+02  0.42359E+03  0.61403E+02
            1            6  0.16000E-01  0.13129E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.53415E+01 -0.49364E+01 -0.21928E+01  0.53415E+01  0.84710E+01  0.21928E+01  0.76807E+00  0.63993E+00  0.11356E+02  0.48729E+03  0.47849E+03  0.11399E+02  0.44461E+03  0.11866E+03
            1            3  0.16000E-01  0.23348E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.48352E+01 -0.54609E+01  0.88768E+01  0.48352E+01  0.54609E+01  0.88768E+01  0.74545E+00 -0.24981E+00  0.13892E+01  0.46654E+03  0.46615E+03  0.10115E+02  0.45022E+03  0.33315E+02
            1            4  0.16000E-01  0.22964E+02 -0.43949E+01  0.00000E+00  0.00000E+00 -0.50753E+01 -0.14864E+02  0.48015E+01  0.50753E+01  0.14864E+02  0.48015E+01  0.47982E+00 -0.74655E+00  0.82309E+01  0.46449E+03  0.45694E+03  0.12549E+02  0.44963E+03  0.43369E+02
            1            4  0.16000E-01  0.92084E+01 -0.43949E+01  0.00000E+00  0.00000E+00 -0.50219E+01 -0.12154E+01 -0.94357E-01  0.50219E+01  0.33426E+01  0.39840E+01  0.68999E+00 -0.73967E+00  0.42470E+01  0.47620E+03  0.46895E+03  0.14596E+02  0.46895E+03  0.32597E+02
